player_name,true_strike_rate_Death,true_strike_rate_Middle,true_strike_rate_Powerplay,total_runs_Death,total_runs_Middle,total_runs_Powerplay,wickets_Death,wickets_Middle,wickets_Powerplay,economy_Death,economy_Middle,economy_Powerplay,total_runs,total_wickets,impact_score,role,est_price_cr,is_overseas
A Ashish Reddy,-6.19,25.89,0.0,214.0,61.0,0.0,11.0,7.0,0.0,9.31,7.66,0.0,275.0,18.0,47.3335,Specialist,1.57,0
A Badoni,2.5,-2.61,-4.11,538.0,516.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.0,0.0,46.967499999999994,Batter,1.56,0
A Chopra,0.0,0.0,-56.35,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,5.0,Specialist,0.5,0
A Kamboj,-33.76,0.0,0.0,55.0,0.0,0.0,14.0,4.0,13.0,9.81,8.86,9.16,55.0,31.0,78.384,Bowler,2.35,0
A Kumble,-73.51,0.0,0.0,34.0,0.0,0.0,17.0,25.0,3.0,7.07,6.33,4.57,34.0,45.0,44.1315,Bowler,1.49,0
A Manohar,-1.29,-18.13,0.0,148.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,10.748500000000002,Specialist,0.65,0
A Mhatre,0.0,57.57,57.53,0.0,157.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,31.6625,Batter,1.17,0
A Mishra,-52.3,-52.72,0.0,260.0,120.0,0.0,42.0,126.0,6.0,8.83,6.74,7.01,380.0,174.0,161.89499999999998,Bowler,4.46,0
A Nehra,-85.7,0.0,0.0,41.0,0.0,0.0,54.0,12.0,40.0,8.33,6.91,7.01,41.0,106.0,280.645,Bowler,7.46,0
A Nortje,-56.55,0.0,0.0,49.0,0.0,0.0,27.0,12.0,22.0,9.29,7.94,7.67,49.0,61.0,142.66750000000002,Bowler,3.98,0
A Raghuvanshi,8.52,14.27,17.2,137.0,465.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,885.0,0.0,42.682,Batter,1.45,0
A Symonds,-2.05,-0.6,-38.48,293.0,609.0,72.0,5.0,11.0,4.0,10.09,7.34,5.14,974.0,20.0,58.1225,All-Rounder,1.84,0
AA Jhunjhunwala,-20.59,-26.77,0.0,69.0,124.0,0.0,0.0,1.0,0.0,0.0,8.62,0.0,193.0,1.0,5.0,Specialist,0.5,0
AB Agarkar,-23.23,-50.55,0.0,125.0,34.0,0.0,7.0,16.0,6.0,9.33,7.52,8.35,159.0,29.0,40.7295,Bowler,1.4,0
AB Dinda,-102.0,0.0,0.0,20.0,0.0,0.0,26.0,10.0,33.0,10.44,5.98,6.58,20.0,69.0,155.10000000000002,Bowler,4.29,0
AB McDonald,-33.13,0.0,0.0,80.0,0.0,0.0,0.0,5.0,3.0,0.0,7.57,8.79,80.0,8.0,5.0,Specialist,0.5,0
AB de Villiers,64.67,6.35,-4.59,1868.0,2572.0,741.0,0.0,0.0,0.0,0.0,0.0,0.0,5181.0,0.0,228.727,Batter,6.15,1
AC Blizzard,0.0,0.0,6.37,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,5.5525,Specialist,0.51,0
AC Gilchrist,0.0,17.29,6.04,0.0,621.0,1385.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,0.0,81.75,Batter,2.44,0
AC Voges,1.0,-8.79,0.0,85.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,7.31,Specialist,0.56,0
AD Hales,0.0,0.0,16.82,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,8.765,Specialist,0.6,0
AD Mascarenhas,-31.27,0.0,0.0,49.0,0.0,0.0,0.0,5.0,12.0,0.0,5.63,7.29,49.0,17.0,27.015500000000003,Specialist,1.06,0
