striker,phase,balls_faced,total_runs,dots,boundaries,strike_rate,true_strike_rate
A Ashish Reddy,Death,148,214,40,23,144.5945945945946,-6.19
A Ashish Reddy,Middle,41,61,16,7,148.78048780487805,25.89
A Ashish Reddy,Powerplay,7,5,5,1,71.42857142857143,-50.78
A Badoni,Death,351,538,108,66,153.27635327635326,2.5
A Badoni,Middle,429,516,149,57,120.27972027972027,-2.61
A Badoni,Powerplay,105,124,58,20,118.0952380952381,-4.11
A Chandila,Death,7,4,3,0,57.14285714285714,-93.64
A Chopra,Death,2,1,1,0,50.0,-100.78
A Chopra,Middle,32,25,18,3,78.125,-44.77
A Chopra,Powerplay,41,27,26,4,65.85365853658537,-56.35
A Choudhary,Death,20,25,4,2,125.0,-25.78
A Dananjaya,Death,5,4,2,0,80.0,-70.78
A Flintoff,Death,18,25,5,3,138.88888888888889,-11.89
A Flintoff,Middle,24,23,8,2,95.83333333333334,-27.06
A Flintoff,Powerplay,15,14,11,2,93.33333333333333,-28.87
A Kamboj,Death,47,55,17,6,117.02127659574468,-33.76
A Kamboj,Middle,8,19,2,3,237.5,114.61
A Kumble,Death,44,34,20,3,77.27272727272727,-73.51
A Kumble,Middle,5,1,4,0,20.0,-102.89
A Manohar,Death,99,148,34,19,149.4949494949495,-1.29
A Manohar,Middle,126,132,53,16,104.76190476190477,-18.13
A Manohar,Powerplay,18,12,12,2,66.66666666666666,-55.54
A Mhatre,Death,10,9,2,0,90.0,-60.78
A Mhatre,Middle,87,157,22,21,180.45977011494253,57.57
A Mhatre,Powerplay,153,275,65,53,179.73856209150327,57.53
A Mishra,Death,264,260,114,28,98.48484848484848,-52.3
A Mishra,Middle,171,120,81,8,70.17543859649122,-52.72
A Mishra,Powerplay,5,1,4,0,20.0,-102.21
A Mithun,Death,14,19,7,3,135.71428571428572,-15.07
A Mithun,Middle,12,15,4,2,125.0,2.11
A Mukund,Death,1,0,1,0,0.0,-150.78
A Mukund,Middle,6,5,2,0,83.33333333333334,-39.56
A Mukund,Powerplay,16,14,6,1,87.5,-34.71
A Nehra,Death,63,41,37,4,65.07936507936508,-85.7
A Nortje,Death,52,49,26,6,94.23076923076923,-56.55
A Raghuvanshi,Death,86,137,22,19,159.30232558139534,8.52
