bowler,phase,balls_bowled,runs_conceded,wickets,economy
A Ashish Reddy,Death,105,163,11,9.31
A Ashish Reddy,Middle,159,203,7,7.66
A Ashish Reddy,Powerplay,6,20,0,20.0
A Badoni,Death,16,19,2,7.12
A Badoni,Middle,24,44,2,11.0
A Badoni,Powerplay,1,0,0,0.0
A Chandila,Death,6,6,0,6.0
A Chandila,Middle,84,99,1,7.07
A Chandila,Powerplay,144,137,10,5.71
A Choudhary,Death,27,37,1,8.22
A Choudhary,Middle,44,55,1,7.5
A Choudhary,Powerplay,37,45,3,7.3
A Dananjaya,Middle,19,34,0,10.74
A Dananjaya,Powerplay,6,12,0,12.0
A Flintoff,Death,24,58,1,14.5
A Flintoff,Middle,30,26,1,5.2
A Flintoff,Powerplay,12,21,0,10.5
A Kamboj,Death,140,229,14,9.81
A Kamboj,Middle,84,124,4,8.86
A Kamboj,Powerplay,289,441,13,9.16
A Kumble,Death,174,205,17,7.07
A Kumble,Middle,700,739,25,6.33
A Kumble,Powerplay,109,83,3,4.57
A Mishra,Death,543,799,42,8.83
A Mishra,Middle,2758,3099,126,6.74
A Mishra,Powerplay,143,167,6,7.01
A Mithun,Death,85,147,4,10.38
A Mithun,Middle,156,203,2,7.81
A Mithun,Powerplay,71,98,1,8.28
A Nehra,Death,546,758,54,8.33
A Nehra,Middle,297,342,12,6.91
A Nehra,Powerplay,1131,1322,40,7.01
A Nel,Death,6,8,0,8.0
A Nel,Middle,6,11,0,11.0
A Nel,Powerplay,6,12,1,12.0
A Nortje,Death,463,717,27,9.29
A Nortje,Middle,247,327,12,7.94
A Nortje,Powerplay,459,587,22,7.67
A Singh,Death,162,267,16,9.89
A Singh,Middle,48,57,1,7.12
A Singh,Powerplay,276,279,11,6.07
A Symonds,Death,85,143,5,10.09
A Symonds,Middle,337,412,11,7.34
A Symonds,Powerplay,118,101,4,5.14
A Uniyal,Death,19,25,1,7.89
A Uniyal,Middle,6,18,0,18.0
A Uniyal,Powerplay,13,21,1,9.69
A Zampa,Death,90,165,13,11.0
A Zampa,Middle,342,432,16,7.58
A Zampa,Powerplay,43,42,2,5.86
AA Chavan,Death,14,32,3,13.71
AA Chavan,Middle,92,136,2,8.87
AA Chavan,Powerplay,149,150,3,6.04
AA Jhunjhunwala,Death,1,2,0,12.0
AA Jhunjhunwala,Middle,55,79,1,8.62
AA Jhunjhunwala,Powerplay,32,45,0,8.44
AA Kazi,Middle,13,20,0,9.23
AA Noffke,Death,12,11,1,5.5
